digraph G{
layouit=dot
graph [ dpi = 300 ];
rankdir=LR;
Budapest
label = "0 iteration: 68.274595 qubits "NewYork
Budapest->Starlink_8 [color=blueviolet label=" Transmittance: 28.3, duration: 47.0 seconds 
 total duration usage: 16.0% "]
Starlink_8->Starlink_5 [color=blueviolet label=" Transmittance: 28.3, duration: 47.0 seconds 
 total duration usage: 3.7% "]
Starlink_5->Starlink_2 [color=blueviolet label=" Transmittance: 28.3, duration: 47.0 seconds 
 total duration usage: 4.0% "]
Starlink_2->Starlink_6 [color=blueviolet label=" Transmittance: 28.3, duration: 47.0 seconds 
Starlink_4->NewYork [color=Black label=" D: 126.0 
 TR: 0.7 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 3.2 "]
Starlink_8->Starlink_4 [color=Black label=" D: 294.0 
 TR: 3.2 "]
Starlink_4->NewYork [color=Black label=" D: 294.0 
 TR: 3.2 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 4.7 "]
Starlink_8->Starlink_4 [color=Black label=" D: 294.0 
 TR: 4.7 "]
Starlink_4->NewYork [color=Black label=" D: 294.0 
 TR: 4.7 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 1.3 "]
Starlink_8->Starlink_5 [color=Black label=" D: 294.0 
 TR: 1.3 "]
Starlink_5->NewYork [color=Black label=" D: 294.0 
 TR: 1.3 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 1.7 "]
Starlink_8->Starlink_5 [color=Black label=" D: 294.0 
 TR: 1.7 "]
Starlink_5->NewYork [color=Black label=" D: 294.0 
 TR: 1.7 "]
Budapest->Starlink_8 [color=Black label=" D: 269.0 
 TR: 1.4 "]
Starlink_8->Starlink_5 [color=Black label=" D: 269.0 
 TR: 1.4 "]
Starlink_5->NewYork [color=Black label=" D: 269.0 
 TR: 1.4 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 5.9 "]
Starlink_8->Starlink_5 [color=Black label=" D: 294.0 
 TR: 5.9 "]
Starlink_5->NewYork [color=Black label=" D: 294.0 
 TR: 5.9 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 9.8 "]
Starlink_8->Starlink_5 [color=Black label=" D: 294.0 
 TR: 9.8 "]
Starlink_5->NewYork [color=Black label=" D: 294.0 
 TR: 9.8 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 1.5 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 1.5 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 1.5 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 1.5 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 1.6 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 1.4 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 1.4 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 1.4 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 1.4 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 1.7 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 1.7 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 1.7 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 1.7 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 2.2 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 2.2 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 2.2 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 2.2 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 2.1 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 2.1 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 2.1 "]
Starlink_2->NewYork [color=Black label=" D: 47.0 
 TR: 2.1 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_2->Starlink_6 [color=Black label=" D: 47.0 
 TR: 1.6 "]
Starlink_6->NewYork [color=Black label=" D: 47.0 
 TR: 1.6 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 2.0 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 2.0 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 2.0 "]
Starlink_2->Starlink_6 [color=Black label=" D: 47.0 
 TR: 2.0 "]
Starlink_6->NewYork [color=Black label=" D: 47.0 
 TR: 2.0 "]
Budapest->Starlink_8 [color=Black label=" D: 47.0 
 TR: 17.4 "]
Starlink_8->Starlink_5 [color=Black label=" D: 47.0 
 TR: 17.4 "]
Starlink_5->Starlink_2 [color=Black label=" D: 47.0 
 TR: 17.4 "]
Starlink_2->Starlink_6 [color=Black label=" D: 47.0 
 TR: 17.4 "]
Starlink_6->NewYork [color=Black label=" D: 47.0 
 TR: 17.4 "]
Budapest->Starlink_8 [color=Black label=" D: 294.0 
 TR: 22.7 "]
Starlink_8->NewYork [color=Black label=" D: 294.0 
 TR: 22.7 "]
}
